"TIME","GEO","UNIT","SECTOR","COFOG99","NA_ITEM","Value","Flag and Footnotes"
"2016","Estonia","Million euro","General government","Public debt transactions","Total general government expenditure","31.7",""
"2016","Ireland","Million euro","General government","Total","Total general government expenditure","75,361.8",""
"2016","Ireland","Million euro","General government","Public debt transactions","Total general government expenditure","6,202.9",""
"2016","Greece","Million euro","General government","Total","Total general government expenditure","86,480.0",""
"2016","Greece","Million euro","General government","Public debt transactions","Total general government expenditure","6,076.0",""
"2016","Spain","Million euro","General government","Total","Total general government expenditure","472,733.0",""
"2016","Spain","Million euro","General government","Public debt transactions","Total general government expenditure","32,388.0",""
"2016","France","Million euro","General government","Total","Total general government expenditure","1,264,297.0",""
"2016","France","Million euro","General government","Public debt transactions","Total general government expenditure","44,917.0",""
"2016","Italy","Million euro","General government","Total","Total general government expenditure","830,749.0",""
"2016","Italy","Million euro","General government","Public debt transactions","Total general government expenditure","69,699.0",""
"2016","Cyprus","Million euro","General government","Total","Total general government expenditure","7,098.4",""
"2016","Cyprus","Million euro","General government","Public debt transactions","Total general government expenditure","490.8",""
"2016","Latvia","Million euro","General government","Total","Total general government expenditure","9,240.2",""
"2016","Latvia","Million euro","General government","Public debt transactions","Total general government expenditure","315.1",""
"2016","Lithuania","Million euro","General government","Total","Total general government expenditure","13,294.5",""
"2016","Lithuania","Million euro","General government","Public debt transactions","Total general government expenditure","613.7",""
"2016","Luxembourg","Million euro","General government","Total","Total general government expenditure","22,307.8",""
"2016","Luxembourg","Million euro","General government","Public debt transactions","Total general government expenditure","233.0",""
"2016","Malta","Million euro","General government","Total","Total general government expenditure","3,777.7",""
"2016","Malta","Million euro","General government","Public debt transactions","Total general government expenditure","218.7",""
"2016","Netherlands","Million euro","General government","Total","Total general government expenditure","308,695.0",""
"2016","Netherlands","Million euro","General government","Public debt transactions","Total general government expenditure","9,630.0",""
"2016","Austria","Million euro","General government","Total","Total general government expenditure","179,059.0",""
"2016","Austria","Million euro","General government","Public debt transactions","Total general government expenditure","8,099.0",""
"2016","Portugal","Million euro","General government","Total","Total general government expenditure","83,534.7","e"
"2016","Portugal","Million euro","General government","Public debt transactions","Total general government expenditure","7,991.8","e"
"2016","Slovenia","Million euro","General government","Total","Total general government expenditure","18,662.2",""
"2016","Slovenia","Million euro","General government","Public debt transactions","Total general government expenditure","1,259.8",""
"2016","Slovakia","Million euro","General government","Total","Total general government expenditure","34,593.2",""
"2016","Slovakia","Million euro","General government","Public debt transactions","Total general government expenditure","1,433.1","p"
"2016","Finland","Million euro","General government","Total","Total general government expenditure","120,975.0",""
"2016","Finland","Million euro","General government","Public debt transactions","Total general government expenditure","2,527.0",""
"2017","Belgium","Million euro","General government","Total","Total general government expenditure","231,707.1",""
"2017","Belgium","Million euro","General government","Public debt transactions","Total general government expenditure","11,367.9",""
"2017","Germany (until 1990 former territory of the FRG)","Million euro","General government","Total","Total general government expenditure","1,441,419.0",""
"2017","Germany (until 1990 former territory of the FRG)","Million euro","General government","Public debt transactions","Total general government expenditure","37,120.0",""
"2017","Estonia","Million euro","General government","Total","Total general government expenditure","9,352.3",""
"2017","Estonia","Million euro","General government","Public debt transactions","Total general government expenditure","27.9",""
"2017","Ireland","Million euro","General government","Total","Total general government expenditure","77,481.3",""
"2017","Ireland","Million euro","General government","Public debt transactions","Total general government expenditure","5,876.5",""
"2017","Greece","Million euro","General government","Total","Total general government expenditure","85,492.0",""
"2017","Greece","Million euro","General government","Public debt transactions","Total general government expenditure","6,012.0",""
"2017","Spain","Million euro","General government","Total","Total general government expenditure","478,669.0",""
"2017","Spain","Million euro","General government","Public debt transactions","Total general government expenditure","30,748.0",""
"2017","France","Million euro","General government","Total","Total general government expenditure","1,293,953.0","p"
"2017","France","Million euro","General government","Public debt transactions","Total general government expenditure","43,501.0","p"
"2017","Italy","Million euro","General government","Total","Total general government expenditure","845,054.0",""
"2017","Italy","Million euro","General government","Public debt transactions","Total general government expenditure","68,748.0",""
"2017","Cyprus","Million euro","General government","Total","Total general government expenditure","7,395.5",""
"2017","Cyprus","Million euro","General government","Public debt transactions","Total general government expenditure","506.0",""
"2017","Latvia","Million euro","General government","Total","Total general government expenditure","10,186.0",""
"2017","Latvia","Million euro","General government","Public debt transactions","Total general government expenditure","304.5",""
"2017","Lithuania","Million euro","General government","Total","Total general government expenditure","14,020.4",""
"2017","Lithuania","Million euro","General government","Public debt transactions","Total general government expenditure","565.8",""
"2017","Luxembourg","Million euro","General government","Total","Total general government expenditure","23,757.0",""
"2017","Luxembourg","Million euro","General government","Public debt transactions","Total general government expenditure","240.6",""
"2017","Malta","Million euro","General government","Total","Total general government expenditure","4,053.5",""
"2017","Malta","Million euro","General government","Public debt transactions","Total general government expenditure","209.3",""
"2017","Netherlands","Million euro","General government","Total","Total general government expenditure","313,333.0",""
"2017","Netherlands","Million euro","General government","Public debt transactions","Total general government expenditure","8,711.0",""
"2017","Austria","Million euro","General government","Total","Total general government expenditure","182,091.3",""
"2017","Austria","Million euro","General government","Public debt transactions","Total general government expenditure","7,391.1",""
"2017","Portugal","Million euro","General government","Total","Total general government expenditure","88,904.2","e"
"2017","Portugal","Million euro","General government","Public debt transactions","Total general government expenditure","7,642.3","e"
"2017","Slovenia","Million euro","General government","Total","Total general government expenditure","18,940.9",""
"2017","Slovenia","Million euro","General government","Public debt transactions","Total general government expenditure","1,106.1",""
"2017","Slovakia","Million euro","General government","Total","Total general government expenditure","35,083.0",""
"2017","Slovakia","Million euro","General government","Public debt transactions","Total general government expenditure","1,280.0","p"
"2017","Finland","Million euro","General government","Total","Total general government expenditure","121,319.0",""
"2017","Finland","Million euro","General government","Public debt transactions","Total general government expenditure","2,417.0",""
"2018","Belgium","Million euro","General government","Total","Total general government expenditure","239,635.7",""
"2018","Belgium","Million euro","General government","Public debt transactions","Total general government expenditure","10,651.8",""
"2018","Germany (until 1990 former territory of the FRG)","Million euro","General government","Total","Total general government expenditure","1,490,498.0",""
"2018","Germany (until 1990 former territory of the FRG)","Million euro","General government","Public debt transactions","Total general government expenditure","34,284.0",""
"2018","Estonia","Million euro","General government","Total","Total general government expenditure","10,180.9",""
"2018","Estonia","Million euro","General government","Public debt transactions","Total general government expenditure","24.3",""
"2018","Ireland","Million euro","General government","Total","Total general government expenditure","82,168.6",""
"2018","Ireland","Million euro","General government","Public debt transactions","Total general government expenditure","5,276.8",""
"2018","Greece","Million euro","General government","Total","Total general government expenditure","86,746.0",""
"2018","Greece","Million euro","General government","Public debt transactions","Total general government expenditure","6,520.0",""
"2018","Spain","Million euro","General government","Total","Total general government expenditure","501,497.0","p"
"2018","Spain","Million euro","General government","Public debt transactions","Total general government expenditure","30,725.0","p"
"2018","France","Million euro","General government","Total","Total general government expenditure","1,318,613.0","p"
"2018","France","Million euro","General government","Public debt transactions","Total general government expenditure","43,675.0","p"
"2018","Italy","Million euro","General government","Total","Total general government expenditure","854,602.0",""
"2018","Italy","Million euro","General government","Public debt transactions","Total general government expenditure","67,997.0",""
"2018","Cyprus","Million euro","General government","Total","Total general government expenditure","9,213.3",""
"2018","Cyprus","Million euro","General government","Public debt transactions","Total general government expenditure","511.8",""
"2018","Latvia","Million euro","General government","Total","Total general government expenditure","11,224.9",""
"2018","Latvia","Million euro","General government","Public debt transactions","Total general government expenditure","261.8",""
"2018","Lithuania","Million euro","General government","Total","Total general government expenditure","15,412.3",""
"2018","Lithuania","Million euro","General government","Public debt transactions","Total general government expenditure","502.8",""
"2018","Luxembourg","Million euro","General government","Total","Total general government expenditure","25,188.3",""
"2018","Luxembourg","Million euro","General government","Public debt transactions","Total general government expenditure","236.2",""
"2018","Malta","Million euro","General government","Total","Total general government expenditure","4,528.5",""
"2018","Malta","Million euro","General government","Public debt transactions","Total general government expenditure","193.5",""
"2018","Netherlands","Million euro","General government","Total","Total general government expenditure","327,365.0",""
"2018","Netherlands","Million euro","General government","Public debt transactions","Total general government expenditure","8,069.0",""
"2018","Austria","Million euro","General government","Total","Total general government expenditure","187,705.7",""
"2018","Austria","Million euro","General government","Public debt transactions","Total general government expenditure","6,809.3",""
"2018","Portugal","Million euro","General government","Total","Total general government expenditure","88,606.0","e"
"2018","Portugal","Million euro","General government","Public debt transactions","Total general government expenditure","7,124.7","e"
"2018","Slovenia","Million euro","General government","Total","Total general government expenditure","19,924.9",""
"2018","Slovenia","Million euro","General government","Public debt transactions","Total general government expenditure","936.0",""
"2018","Slovakia","Million euro","General government","Total","Total general government expenditure","37,520.8",""
"2018","Slovakia","Million euro","General government","Public debt transactions","Total general government expenditure","1,302.4","p"
"2018","Finland","Million euro","General government","Total","Total general government expenditure","124,400.0",""
"2018","Finland","Million euro","General government","Public debt transactions","Total general government expenditure","2,237.0",""
